PostalCode,City,State
0001,OSLO,OSL
0010,OSLO,OSL
0015,OSLO,OSL
0018,OSLO,OSL
0021,OSLO,OSL
0024,OSLO,OSL
0026,OSLO,OSL
0028,OSLO,OSL
0030,OSLO,OSL
0032,OSLO,OSL
0033,OSLO,OSL
0034,OSLO,OSL
0037,OSLO,OSL
0040,OSLO,OSL
0045,OSLO,OSL
0046,OSLO,OSL
0047,OSLO,OSL
0048,OSLO,OSL
0050,OSLO,OSL
0055,OSLO,OSL
0101,OSLO,OSL
0102,OSLO,OSL
0103,OSLO,OSL
0104,OSLO,OSL
0105,OSLO,OSL
0106,OSLO,OSL
0107,OSLO,OSL
0109,OSLO,OSL
0110,OSLO,OSL
0111,OSLO,OSL
0112,OSLO,OSL
0113,OSLO,OSL
0114,OSLO,OSL
0115,OSLO,OSL
0116,OSLO,OSL
0117,OSLO,OSL
0118,OSLO,OSL
0119,OSLO,OSL
0120,OSLO,OSL
0121,OSLO,OSL
0122,OSLO,OSL
0123,OSLO,OSL
0124,OSLO,OSL
0125,OSLO,OSL
0128,OSLO,OSL
0129,OSLO,OSL
0130,OSLO,OSL
0131,OSLO,OSL
0132,OSLO,OSL
0133,OSLO,OSL
0134,OSLO,OSL
0135,OSLO,OSL
0136,OSLO,OSL
0138,OSLO,OSL
0139,OSLO,OSL
0140,OSLO,OSL
0150,OSLO,OSL
0151,OSLO,OSL
0152,OSLO,OSL
0153,OSLO,OSL
0154,OSLO,OSL
0155,OSLO,OSL
0157,OSLO,OSL
0158,OSLO,OSL
0159,OSLO,OSL
0160,OSLO,OSL
0161,OSLO,OSL
0162,OSLO,OSL
0164,OSLO,OSL
0165,OSLO,OSL
0166,OSLO,OSL
0167,OSLO,OSL
0168,OSLO,OSL
0169,OSLO,OSL
0170,OSLO,OSL
0171,OSLO,OSL
0172,OSLO,OSL
0173,OSLO,OSL
0174,OSLO,OSL
0175,OSLO,OSL
0176,OSLO,OSL
0177,OSLO,OSL
0178,OSLO,OSL
0179,OSLO,OSL
0180,OSLO,OSL
0181,OSLO,OSL
0182,OSLO,OSL
0183,OSLO,OSL
0184,OSLO,OSL
0185,OSLO,OSL
0186,OSLO,OSL
0187,OSLO,OSL
0188,OSLO,OSL
0190,OSLO,OSL
0191,OSLO,OSL
0192,OSLO,OSL
0193,OSLO,OSL
0194,OSLO,OSL
0195,OSLO,OSL
0196,OSLO,OSL
0198,OSLO,OSL
0201,OSLO,OSL
0202,OSLO,OSL
0203,OSLO,OSL
0204,OSLO,OSL
0207,OSLO,OSL
0208,OSLO,OSL
0211,OSLO,OSL
0212,OSLO,OSL
0213,OSLO,OSL
0214,OSLO,OSL
0215,OSLO,OSL
0216,OSLO,OSL
0217,OSLO,OSL
0218,OSLO,OSL
0230,OSLO,OSL
0240,OSLO,OSL
0244,OSLO,OSL
0247,OSLO,OSL
0250,OSLO,OSL
0251,OSLO,OSL
0252,OSLO,OSL
0253,OSLO,OSL
0254,OSLO,OSL
0255,OSLO,OSL
0256,OSLO,OSL
0257,OSLO,OSL
0258,OSLO,OSL
0259,OSLO,OSL
0260,OSLO,OSL
0262,OSLO,OSL
0263,OSLO,OSL
0264,OSLO,OSL
0265,OSLO,OSL
0266,OSLO,OSL
0267,OSLO,OSL
0268,OSLO,OSL
0270,OSLO,OSL
0271,OSLO,OSL
0272,OSLO,OSL
0273,OSLO,OSL
0274,OSLO,OSL
0275,OSLO,OSL
0276,OSLO,OSL
0277,OSLO,OSL
0278,OSLO,OSL
0279,OSLO,OSL
0280,OSLO,OSL
0281,OSLO,OSL
0282,OSLO,OSL
0283,OSLO,OSL
0284,OSLO,OSL
0286,OSLO,OSL
0287,OSLO,OSL
0301,OSLO,OSL
0302,OSLO,OSL
0303,OSLO,OSL
0304,OSLO,OSL
0305,OSLO,OSL
0306,OSLO,OSL
0307,OSLO,OSL
0308,OSLO,OSL
0309,OSLO,OSL
0311,OSLO,OSL
0313,OSLO,OSL
0314,OSLO,OSL
0315,OSLO,OSL
0316,OSLO,OSL
0317,OSLO,OSL
0318,OSLO,OSL
0319,OSLO,OSL
0323,OSLO,OSL
0330,OSLO,OSL
0340,OSLO,OSL
0349,OSLO,OSL
0350,OSLO,OSL
0351,OSLO,OSL
0352,OSLO,OSL
0353,OSLO,OSL
0354,OSLO,OSL
0355,OSLO,OSL
0356,OSLO,OSL
0357,OSLO,OSL
0358,OSLO,OSL
0359,OSLO,OSL
0360,OSLO,OSL
0361,OSLO,OSL
0362,OSLO,OSL
0363,OSLO,OSL
0364,OSLO,OSL
0365,OSLO,OSL
0366,OSLO,OSL
0367,OSLO,OSL
0368,OSLO,OSL
0369,OSLO,OSL
0370,OSLO,OSL
0371,OSLO,OSL
0372,OSLO,OSL
0373,OSLO,OSL
0374,OSLO,OSL
0375,OSLO,OSL
0376,OSLO,OSL
0377,OSLO,OSL
0378,OSLO,OSL
0379,OSLO,OSL
0380,OSLO,OSL
0381,OSLO,OSL
0382,OSLO,OSL
0383,OSLO,OSL
0401,OSLO,OSL
0402,OSLO,OSL
0403,OSLO,OSL
0404,OSLO,OSL
0405,OSLO,OSL
0406,OSLO,OSL
0409,OSLO,OSL
0410,OSLO,OSL
0411,OSLO,OSL
0412,OSLO,OSL
0413,OSLO,OSL
0415,OSLO,OSL
0421,OSLO,OSL
0422,OSLO,OSL
0423,OSLO,OSL
0424,OSLO,OSL
0440,OSLO,OSL
0441,OSLO,OSL
0442,OSLO,OSL
0445,OSLO,OSL
0450,OSLO,OSL
0451,OSLO,OSL
0452,OSLO,OSL
0454,OSLO,OSL
0455,OSLO,OSL
0456,OSLO,OSL
0457,OSLO,OSL
0458,OSLO,OSL
0459,OSLO,OSL
0460,OSLO,OSL
0461,OSLO,OSL
0462,OSLO,OSL
0463,OSLO,OSL
0464,OSLO,OSL
0465,OSLO,OSL
0467,OSLO,OSL
0468,OSLO,OSL
0469,OSLO,OSL
0470,OSLO,OSL
0472,OSLO,OSL
0473,OSLO,OSL
0474,OSLO,OSL
0475,OSLO,OSL
0476,OSLO,OSL
0477,OSLO,OSL
0478,OSLO,OSL
0479,OSLO,OSL
0480,OSLO,OSL
0481,OSLO,OSL
0482,OSLO,OSL
0483,OSLO,OSL
0484,OSLO,OSL
0485,OSLO,OSL
